epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,273.872,0.47402,0.58154,0.48931,0.85973,0.97203,0.86366,0.90899,0.79461,0.98469,0.85298,0.90743,0.73662,0.4454,0.61872,0.44139,0.84122,0.000484063,0.000484063,0.000484063
59,278.742,0.46813,0.55859,0.48626,0.86879,0.93037,0.89272,0.90604,0.78516,0.98712,0.84677,0.90567,0.7288,0.46237,0.63079,0.45308,0.84328,0.000473064,0.000473064,0.000473064
60,284.062,0.47791,0.57789,0.48841,0.86765,0.95227,0.87041,0.90792,0.78542,0.96035,0.87871,0.91797,0.73253,0.45248,0.68361,0.45592,0.8404,0.000462065,0.000462065,0.000462065
61,288.082,0.47135,0.60247,0.49129,0.87368,0.96728,0.8786,0.90392,0.78431,0.97387,0.88462,0.91749,0.72751,0.45482,0.65695,0.46308,0.84095,0.000451066,0.000451066,0.000451066
62,292.954,0.44768,0.53682,0.47579,0.86577,0.97094,0.87245,0.90457,0.78599,0.96109,0.86464,0.89731,0.71791,0.45958,0.62917,0.46226,0.84321,0.000440067,0.000440067,0.000440067
63,297.551,0.47221,0.58312,0.4936,0.87554,0.95939,0.88274,0.9103,0.79073,0.97112,0.85027,0.89442,0.71657,0.46588,0.6161,0.44133,0.85273,0.000429068,0.000429068,0.000429068
64,301.634,0.45989,0.57765,0.47639,0.86818,0.96616,0.87985,0.90618,0.79764,0.96072,0.87296,0.90309,0.72593,0.45613,0.60569,0.43003,0.8565,0.000418069,0.000418069,0.000418069
65,306.18,0.43879,0.53624,0.46826,0.85947,0.9437,0.88622,0.90541,0.78972,0.95454,0.89783,0.91736,0.73221,0.46171,0.63206,0.43177,0.85851,0.00040707,0.00040707,0.00040707
66,311.117,0.46091,0.55493,0.47067,0.86317,0.93037,0.88391,0.89736,0.78891,0.9468,0.90017,0.91611,0.7303,0.46812,0.62349,0.43533,0.85905,0.000396071,0.000396071,0.000396071
67,315.339,0.46028,0.58526,0.46733,0.85969,0.93469,0.88203,0.89914,0.79524,0.9427,0.89458,0.91338,0.73656,0.45601,0.61939,0.43041,0.85742,0.000385073,0.000385073,0.000385073
68,319.442,0.45317,0.57935,0.46712,0.8646,0.93497,0.88608,0.9052,0.79309,0.92178,0.87568,0.90451,0.70895,0.4433,0.63133,0.43498,0.85001,0.000374074,0.000374074,0.000374074
69,324.858,0.45819,0.56162,0.46766,0.86592,0.94615,0.87436,0.90632,0.79661,0.95045,0.87706,0.90563,0.71661,0.45876,0.60837,0.44398,0.8536,0.000363075,0.000363075,0.000363075
70,328.984,0.44811,0.54269,0.45763,0.86366,0.96733,0.88034,0.91023,0.79457,0.95006,0.85758,0.90056,0.73614,0.46463,0.62617,0.44051,0.85324,0.000352076,0.000352076,0.000352076
71,333.133,0.46703,0.54281,0.46993,0.87782,0.97659,0.88107,0.9113,0.79845,0.97196,0.87368,0.91188,0.73877,0.46309,0.65155,0.41793,0.85461,0.000341077,0.000341077,0.000341077
72,338.276,0.45081,0.55446,0.45832,0.86094,0.96268,0.88776,0.90889,0.80177,0.93931,0.86195,0.89801,0.73084,0.44102,0.62918,0.40754,0.85475,0.000330078,0.000330078,0.000330078
